timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence
1040070399,-3774365,-934964850,10292.22,1.81,2662.6,67,0,0
1040070404,-3774188,-934964508,10296.24,1.045,2663.8,68,0,0
1040070408,-3774093,-934964395,10298.79,1.036,2664.2,67,75,0.5
1040070409,-3774115,-934964439,10299.22,0,2664.2,68,0,0
1040070414,-3773727,-934963992,10304.58,1.036,2663.8,68,0,0
1040070415,-3773399,-934963743,10308.4,2.725,2663.2,68,0,0
1040070419,-3771384,-934962266,10331.59,6.69,2661,68,0,0
1040070423,-3767950,-934959512,10372.5,11.066,2660.4,71,0,0
1040070427,-3763279,-934955917,10427.28,13.66,2661,73,0,0
1040070431,-3757267,-934952558,10491.25,16.142,2662.4,72,0,0
1040070434,-3752057,-934949767,10546.11,18.242,2663,71,0,0
1040070435,-3750276,-934948739,10565.2,18.68,2663.2,71,0,0
1040070438,-3745043,-934945540,10622.15,18.559,2663.6,71,0,0
1040070440,-3741665,-934943481,10658.89,18.242,2664.4,70,0,0
1040070443,-3736130,-934941086,10714.94,18.531,2665.4,68,0,0
1040070446,-3730279,-934939039,10772.47,18.559,2666.2,68,0,0
1040070447,-3728318,-934938173,10792.36,19.333,2666.4,67,0,0
1040070450,-3722441,-934935255,10853.26,19.772,2667.8,66,0,0
1040070453,-3716827,-934932361,10911.88,19.333,2668.6,66,0,0
1040070456,-3711514,-934929632,10967.32,17.99,2668.8,65,0,0
1040070458,-3708116,-934928038,11002.14,17.318,2668.2,66,0,0
1040070461,-3703010,-934926126,11052.74,16.777,2667.4,66,0,0
1040070462,-3701207,-934925586,11070.19,17.103,2667.2,65,0,0
1040070465,-3695563,-934924219,11124.04,17.56,2666,64,0,0
1040070466,-3693612,-934923865,11142.41,17.56,2665.6,63,0,0
1040070469,-3687745,-934922916,11197.5,17.943,2664,63,0,0
1040070472,-3682205,-934921903,11249.71,17.066,2662,63,0,0
1040070474,-3678848,-934921314,11281.3,15.76,2660,64,0,0
1040070478,-3672587,-934920197,11340.27,14.435,2656,65,0,0
1040070480,-3669887,-934919590,11365.92,12.54,2654.2,65,0,0
1040070482,-3667343,-934918770,11390.71,12.372,2652.2,65,0,0
1040070484,-3664916,-934917463,11416.3,12.951,2650.2,64,0,0
1040070485,-3663819,-934916699,11428.72,12.811,2649.2,64,0,0
1040070488,-3660905,-934914094,11465.04,12.372,2646.2,62,0,0
1040070493,-3656100,-934909463,11527.09,13.082,2642.4,62,0,0
1040070497,-3652023,-934905495,11579.98,12.746,2638.8,63,0,0
