id_road,segment,point,latitude,longitude,speed,,
ASB,S169,P527,-0.24256,-78.49859,90,,
ASB,S169,P528,-0.24266,-78.4972,90,,
ASB,S170,P529,-0.2424261,-78.4958573,90,,
ASB,S170,P530,-0.24161,-78.49489,90,,
ASB,S171,P531,-0.2407359,-78.4942162,90,,
ASB,S171,P532,-0.23996,-78.4934,90,,
ASB,S172,P533,-0.2392976,-78.4924224,70,,
ASB,S172,P534,-0.23862,-78.49138,70,,
ASB,S172,P535,-0.23808,-78.4906,70,,
ASB,S172,P536,-0.23657,-78.48977,70,,
ASB,S172,P537,-0.23486,-78.49047,70,,
ASB,S173,P538,-0.2342843,-78.4915524,90,,
ASB,S173,P539,-0.23394,-78.49249,90,,
ASB,S174,P540,-0.2336452,-78.492833,60,,
ASB,S174,P541,-0.23264,-78.49314,60,,
ASB,S175,P542,-0.231513,-78.4915845,90,,
ASB,S175,P543,-0.2319,-78.49016,90,,
ASB,S176,P544,-0.2330096,-78.4889186,80,,
ASB,S176,P545,-0.23427,-78.48837,80,,
ASB,S176,P546,-0.2362,-78.48804,80,,
ASB,S176,P547,-0.2368,-78.48766,80,,
ASB,S176,P548,-0.23728,-78.48655,80,,
ASB,S176,P549,-0.23822,-78.48564,80,,
ASB,S176,P550,-0.23953,-78.48544,80,,
ASB,S176,P551,-0.24086,-78.4857,80,,
AGR,S177,P552,-0.24168,-78.4858,90,,
AGR,S177,P553,-0.24242,-78.48575,90,,
AGR,S177,P554,-0.2434,-78.48559,90,,
AGR,S177,P555,-0.24447,-78.48527,90,,
AGR,S178,P556,-0.24522,-78.48505,90,,
AGR,S178,P557,-0.24636,-78.48465,90,,
AGR,S178,P558,-0.24738,-78.48415,90,,
AGR,S178,P559,-0.24799,-78.48381,90,,
AGR,S179,P560,-0.24873,-78.48341,70,,
AGR,S179,P561,-0.24937,-78.48312,70,,
AGR,S179,P562,-0.25071,-78.48285,70,,
AGR,S179,P563,-0.25167,-78.4829,70,,
AGR,S180,P564,-0.25222,-78.48304,90,,
AGR,S180,P565,-0.25286,-78.48328,90,,
AGR,S180,P566,-0.25404,-78.48375,90,,
AGR,S180,P567,-0.25514,-78.4842,90,,
AGR,S181,P568,-0.25581,-78.48447,90,,
AGR,S181,P569,-0.25643,-78.48475,90,,
AGR,S181,P570,-0.25768,-78.48553,90,,
AGR,S181,P571,-0.25897,-78.48675,90,,
AGR,S182,P572,-0.25952,-78.4873,70,,
AGR,S182,P573,-0.25995,-78.48767,70,,
AGR,S182,P574,-0.26114,-78.48824,70,,
AGR,S182,P575,-0.26273,-78.48834,70,,
AGR,S183,P576,-0.26355,-78.48809,90,,
AGR,S183,P577,-0.26417,-78.48782,90,,
AGR,S183,P578,-0.26529,-78.48724,90,,
AGR,S184,P579,-0.26591,-78.48694,70,,
AGR,S184,P580,-0.26652,-78.4867,70,,
AGR,S184,P581,-0.2678,-78.48665,70,,
AGR,S184,P582,-0.26888,-78.48705,70,,
AGR,S185,P583,-0.26953,-78.4876,90,,
AGR,S185,P584,-0.27009,-78.48835,90,,
AGR,S185,P585,-0.27054,-78.48902,90,,
AGR,S186,P586,-0.27084,-78.48943,70,,
AGR,S186,P587,-0.27145,-78.48997,70,,
AGR,S186,P588,-0.27328,-78.49055,70,,
AGR,S186,P589,-0.27565,-78.48944,70,,
AGR,S187,P590,-0.27625,-78.48834,90,,
AGR,S187,P591,-0.27667,-78.48708,90,,
AGR,S187,P592,-0.27732,-78.48507,90,,
AGR,S187,P593,-0.27811,-78.48255,90,,
AGR,S188,P594,-0.27851,-78.48131,90,,
AGR,S188,P595,-0.27876,-78.4805,90,,
AGR,S188,P596,-0.2792,-78.47814,90,,
AGR,S188,P597,-0.27954,-78.47542,90,,
AGR,S189,P598,-0.27964,-78.47458,70,,
AGR,S189,P599,-0.27978,-78.47379,70,,
AGR,S189,P600,-0.28035,-78.47253,70,,
AGR,S189,P601,-0.28115,-78.4716,70,,
AGR,S190,P602,-0.28173,-78.47117,90,,
AGR,S190,P603,-0.28227,-78.47082,90,,
AGR,S190,P604,-0.28335,-78.47012,90,,
AGR,S190,P605,-0.2843,-78.4695,90,,
AGR,S190,P606,-0.28629,-78.46818,90,,
AGR,S190,P607,-0.2876,-78.4673,90,,
AGR,S190,P608,-0.28893,-78.46642,90,,
AGR,S191,P609,-0.29028,-78.46552,70,,
AGR,S191,P610,-0.29094,-78.46512,70,,
AGR,S191,P611,-0.29222,-78.46425,70,,
AGR,S191,P612,-0.29397,-78.46304,70,,
AGR,S191,P613,-0.29524,-78.46221,70,,
AGR,S191,P614,-0.29686,-78.46149,70,,
AGR,S191,P615,-0.2975957,-78.460974,70,,
